Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
5,2,4,Blairgowrie,3,100.27,0.02
5,3,4,Blairgowrie,3,93.89,0.02
5,4,4,Blairgowrie,3,98.59,
5,5,4,Blairgowrie,3,88.74,
5,6,4,Blairgowrie,3,100.05,
6,1,4,Blairgowrie,3,100.13,0.01
6,2,4,Blairgowrie,3,99.16,0.01
6,3,4,Blairgowrie,3,88.47,0.02
6,4,4,Blairgowrie,3,95.76,
6,5,4,Blairgowrie,3,92.65,
6,6,4,Blairgowrie,3,83.43,
7,1,4,Blairgowrie,3,89.42,0.05
7,2,4,Blairgowrie,3,94.89,0.05
7,3,4,Blairgowrie,3,63.16,0.05
7,4,4,Blairgowrie,3,82.70,
7,5,4,Blairgowrie,3,91.63,
7,6,4,Blairgowrie,3,96.67,
8,1,4,Blairgowrie,3,89.39,0.01
8,2,4,Blairgowrie,3,90.22,0.03
8,3,4,Blairgowrie,3,63.16,0.03
8,4,4,Blairgowrie,3,80.78,
8,5,4,Blairgowrie,3,92.32,
8,6,4,Blairgowrie,3,96.37,
9,1,4,Blairgowrie,3,97.21,0.03
9,2,4,Blairgowrie,3,96.85,0.04
9,3,4,Blairgowrie,3,98.96,0.03
9,4,4,Blairgowrie,3,95.03,
9,5,4,Blairgowrie,3,99.77,
9,6,4,Blairgowrie,3,95.74,
10,1,4,Blairgowrie,3,95.16,0.04
10,2,4,Blairgowrie,3,95.28,0.05
10,3,4,Blairgowrie,3,53.22,0.05
10,4,4,Blairgowrie,3,91.66,
10,5,4,Blairgowrie,3,97.30,
10,6,4,Blairgowrie,3,99.22,
11,1,4,Blairgowrie,3,98.16,0.05
11,2,4,Blairgowrie,3,97.95,0.04
11,3,4,Blairgowrie,3,96.94,0.03
11,4,4,Blairgowrie,3,98.02,
11,5,4,Blairgowrie,3,98.46,
11,6,4,Blairgowrie,3,95.05,
12,1,4,Blairgowrie,3,90.05,0.03
12,2,4,Blairgowrie,3,87.33,0.03
12,3,4,Blairgowrie,3,90.70,0.05
12,4,4,Blairgowrie,3,98.22,
12,5,4,Blairgowrie,3,91.76,
12,6,4,Blairgowrie,3,90.79,
1,1,5,Blairgowrie,3,97.92,0.03
1,2,5,Blairgowrie,3,99.66,0.01
1,3,5,Blairgowrie,3,58.15,0.03
1,4,5,Blairgowrie,3,8.70,
1,5,5,Blairgowrie,3,99.15,
1,6,5,Blairgowrie,3,64.88,
2,1,5,Blairgowrie,3,97.89,0.03
2,2,5,Blairgowrie,3,97.19,0.03
2,3,5,Blairgowrie,3,57.56,0.03
2,4,5,Blairgowrie,3,94.37,
2,5,5,Blairgowrie,3,57.21,
2,6,5,Blairgowrie,3,98.66,
3,1,5,Blairgowrie,3,95.95,0.03
3,2,5,Blairgowrie,3,97.12,0.03
3,3,5,Blairgowrie,3,72.63,0.03
3,4,5,Blairgowrie,3,100.74,
3,5,5,Blairgowrie,3,100.72,
3,6,5,Blairgowrie,3,100.74,
4,1,5,Blairgowrie,3,96.42,0.03
4,2,5,Blairgowrie,3,96.77,0.02
4,3,5,Blairgowrie,3,96.70,0.03
4,4,5,Blairgowrie,3,97.33,
4,5,5,Blairgowrie,3,71.01,
4,6,5,Blairgowrie,3,97.64,
5,1,5,Blairgowrie,3,87.11,0.03
5,2,5,Blairgowrie,3,93.42,0.04
5,3,5,Blairgowrie,3,103.25,0.03
5,4,5,Blairgowrie,3,98.75,
5,5,5,Blairgowrie,3,101.66,
5,6,5,Blairgowrie,3,101.61,
6,1,5,Blairgowrie,3,86.63,0.01
6,2,5,Blairgowrie,3,98.50,0.03
6,3,5,Blairgowrie,3,101.51,0.03
6,4,5,Blairgowrie,3,3.16,
6,5,5,Blairgowrie,3,99.55,
6,6,5,Blairgowrie,3,95.86,
7,1,5,Blairgowrie,3,87.81,0.03
7,2,5,Blairgowrie,3,95.14,0.02
7,3,5,Blairgowrie,3,101.19,0.03
7,4,5,Blairgowrie,3,89.97,
7,5,5,Blairgowrie,3,100.72,
7,6,5,Blairgowrie,3,99.47,
8,1,5,Blairgowrie,3,95.96,0.04
8,2,5,Blairgowrie,3,98.96,0.03
8,3,5,Blairgowrie,3,98.71,0.04
8,4,5,Blairgowrie,3,98.79,
8,5,5,Blairgowrie,3,97.11,
8,6,5,Blairgowrie,3,96.84,
9,1,5,Blairgowrie,3,94.52,0.01
9,2,5,Blairgowrie,3,93.59,0.02
9,3,5,Blairgowrie,3,60.16,0.02
9,4,5,Blairgowrie,3,63.14,
9,5,5,Blairgowrie,3,93.56,
9,6,5,Blairgowrie,3,81.61,
10,1,5,Blairgowrie,3,98.26,0.05
10,2,5,Blairgowrie,3,100.06,0.04
10,3,5,Blairgowrie,3,68.61,0.05
10,4,5,Blairgowrie,3,87.29,
10,5,5,Blairgowrie,3,55.43,
10,6,5,Blairgowrie,3,97.54,
11,1,5,Blairgowrie,3,99.86,0.05
11,2,5,Blairgowrie,3,98.63,0.05
11,3,5,Blairgowrie,3,93.50,0.05
11,4,5,Blairgowrie,3,97.81,
11,5,5,Blairgowrie,3,99.87,
11,6,5,Blairgowrie,3,98.39,
12,1,5,Blairgowrie,3,97.48,0.05
12,2,5,Blairgowrie,3,99.08,0.05
12,3,5,Blairgowrie,3,97.28,0.06
12,4,5,Blairgowrie,3,95.86,
12,5,5,Blairgowrie,3,91.89,
12,6,5,Blairgowrie,3,97.13,
1,1,1,Brighton,2,72.35,0.01
1,2,1,Brighton,2,47.58,0.01
1,3,1,Brighton,2,90.74,0.02
1,4,1,Brighton,2,0.00,
1,5,1,Brighton,2,89.31,
1,6,1,Brighton,2,71.63,
2,1,1,Brighton,2,81.71,0.01
2,2,1,Brighton,2,58.88,0.01
2,3,1,Brighton,2,85.63,0.00
2,4,1,Brighton,2,65.37,
2,5,1,Brighton,2,82.00,
2,6,1,Brighton,2,82.01,
3,1,1,Brighton,2,95.58,0.00
3,2,1,Brighton,2,77.35,0.01
3,3,1,Brighton,2,96.72,0.00
3,4,1,Brighton,2,91.38,
3,5,1,Brighton,2,86.84,
3,6,1,Brighton,2,87.88,
4,1,1,Brighton,2,91.64,0.01
4,2,1,Brighton,2,90.52,0.02
4,3,1,Brighton,2,91.72,0.01
4,4,1,Brighton,2,78.31,
4,5,1,Brighton,2,82.87,
4,6,1,Brighton,2,91.99,
5,1,1,Brighton,2,99.31,0.00
5,2,1,Brighton,2,99.59,0.00
5,3,1,Brighton,2,97.59,0.01
5,4,1,Brighton,2,63.68,
5,5,1,Brighton,2,58.45,
5,6,1,Brighton,2,96.44,
6,1,1,Brighton,2,63.16,0.01
6,2,1,Brighton,2,76.12,0.01
6,3,1,Brighton,2,98.48,0.02
6,4,1,Brighton,2,98.62,
6,5,1,Brighton,2,100.36,
6,6,1,Brighton,2,96.83,
7,1,1,Brighton,2,54.33,0.00
7,2,1,Brighton,2,100.15,0.01
7,3,1,Brighton,2,94.88,0.01
7,4,1,Brighton,2,96.65,
7,5,1,Brighton,2,87.90,
7,6,1,Brighton,2,82.38,
8,1,1,Brighton,2,0.36,0.02
8,2,1,Brighton,2,35.66,0.04
8,3,1,Brighton,2,23.93,0.05
8,4,1,Brighton,2,84.91,
8,5,1,Brighton,2,82.87,
8,6,1,Brighton,2,100.05,
